50 5
1 68 17
1 178 714
2 304 496
3 385 981
4 479 811
5 180 475
6 139 790
7 218 924
8 286 579
9 397 559
10 161 253
11 79 393
12 242 157
13 163 668
14 57 952
15 16 612
16 220 610
17 498
2 93 9
1 177 186
2 143 187
3 214 898
4 81 126
5 106 947
6 38 663
7 290 696
8 195 479
9 233
3 62 27
1 332 362
2 443 547
3 299 378
4 232 368
5 286 378
6 357 785
7 151 787
8 137 783
9 439 832
10 209 835
11 339 612
12 265 974
13 40 366
14 96 296
15 284 50
16 311 45
17 8 401
18 314 189
19 35 384
20 451 822
21 160 368
22 11 753
23 107 187
24 19 477
25 479 174
26 386 184
27 252
4 49 8
1 391 466
2 193 619
3 323 815
4 133 800
5 191 436
6 128 499
7 255 582
8 69
5 41 18
1 73 506
2 357 998
3 22 101
4 231 761
5 173 949
6 61 972
7 287 562
8 344 917
9 446 842
10 227 796
11 191 77
12 297 592
13 67 105
14 360 541
15 438 989
16 116 173
17 119 743
18 14
6 60 19
1 86 777
2 378 257
3 367 817
4 275 193
5 354 901
6 46 536
7 454 591
8 142 488
9 143 995
10 444 460
11 196 194
12 14 384
13 86 47
14 413 632
15 157 662
16 454 819
17 277 579
18 353 993
19 233
7 95 13
1 318 323
2 299 407
3 164 428
4 346 340
5 440 59
6 210 295
7 493 802
8 468 333
9 13 340
10 322 486
11 202 941
12 116 941
13 10
8 46 25
1 99 874
2 161 554
3 467 290
4 187 624
5 115 655
6 347 888
7 316 805
8 495 201
9 411 821
10 81 441
11 161 93
12 367 796
13 78 151
14 314 748
15 351 960
16 460 473
17 294 431
18 221 984
19 41 211
20 247 301
21 301 268
22 329 64
23 292 906
24 105 957
25 20
9 32 23
1 107 287
2 268 39
3 32 992
4 49 132
5 284 274
6 160 271
7 72 400
8 12 185
9 72 205
10 343 918
11 265 569
12 59 447
13 327 205
14 457 591
15 242 64
16 304 827
17 418 672
18 337 30
19 265 935
20 481 490
21 215 990
22 254 947
23 132
10 75 26
1 73 390
2 371 245
3 368 782
4 74 307
5 253 489
6 183 468
7 429 661
8 306 347
9 46 760
10 150 321
11 367 968
12 401 604
13 394 760
14 462 426
15 495 545
16 193 712
17 451 633
18 418 839
19 392 495
20 462 157
21 335 380
22 491 431
23 411 502
24 267 698
25 328 530
26 306
11 59 31
1 299 279
2 77 138
3 71 705
4 147 980
5 440 468
6 31 64
7 238 577
8 43 132
